BASE ADDR , END ADDR  , NAME
0xC0000000, 0xFFFFFFFF, RESERVED
0x80000000, 0xBFFFFFFF, DDR MEM
0x5C000000, 0x7FFFFFFF, RESERVED
0x58000000, 0x5BFFFFFF, SPI NOR MEM
0x54000000, 0x57FFFFFF, SPI NAND MEM
0x50000000, 0x53FFFFFF, NAND MEM
0x20700000, 0x4FFFFFFF, RESERVED
0x206F0000, 0x206FFFFF, SDIO1
0x206E0000, 0x206EFFFF, SDIO0
0x206D0000, 0x206DFFFF, DDR TEST
0x206C0000, 0x206CFFFF, MD
0x206B0000, 0x206BFFFF, RESERVED
0x206A0000, 0x206AFFFF, IVE
0x20690000, 0x2069FFFF, RESERVED
0x20680000, 0x2068FFFF, MIPI
0x20670000, 0x2067FFFF, RESERVED
0x20660000, 0x2066FFFF, JPGE
0x20650000, 0x2065FFFF, AIO
0x20640000, 0x2064FFFF, VEDU
0x20630000, 0x2064FFFF, VGS
0x20620000, 0x2062FFFF, AVC
0x20610000, 0x2061FFFF, TDE
0x20600000, 0x2060FFFF, VPSS
0x205C0000, 0x205CFFFF, VDP
0x20580000, 0x205BFFFF, VICAP
0x20400000, 0x2057FFFF, ARM DEBUG
0x20300000, 0x203FFFFF, ARM REG
0x20270000, 0x2027FFFF, PMC
0x20260000, 0x2026FFFF, GPIO-15
0x20250000, 0x2025FFFF, I2C2
0x20240000, 0x2024FFFF, I2C1
0x20230000, 0x2023FFFF, UART3
0x20220000, 0x2022FFFF, GPIO-14
0x20210000, 0x2021FFFF, GPIO-13
0x20200000, 0x2020FFFF, GPIO-12
0x201F0000, 0x201FFFFF, GPIO-11
0x201E0000, 0x201EFFFF, GPIO-10
0x201D0000, 0x201DFFFF, GPIO-9
0x201C0000, 0x201CFFFF, GPIO-8
0x201B0000, 0x201BFFFF, GPIO-7
0x201A0000, 0x201AFFFF, GPIO-6
0x20190000, 0x2019FFFF, GPIO-5
0x20180000, 0x2018FFFF, GPIO-4
0x20170000, 0x2017FFFF, GPIO-3
0x20160000, 0x2016FFFF, GPIO-2
0x20150000, 0x2015FFFF, GPIO-1
0x20140000, 0x2014FFFF, GPIO-0
0x20132000, 0x2013FFFF, RESERVED
0x20131000, 0x20131FFF, PWM4-7
0x20130000, 0x20130FFF, PWM0-3
0x20120000, 0x2012FFFF, MISC
0x20110000, 0x2011FFFF, DDRC0
0x20100000, 0x2010FFFF, RESERVED
0x200F0800, 0x200FFFFF, IO CTR
0x200F0000, 0x200F07FF, IO MUX
0x200E0000, 0x200EFFFF, SPI1
0x200D0000, 0x200DFFFF, I2C0
0x200C0000, 0x200CFFFF, SPI0
0x200B0000, 0x200BFFFF, SAR ADC
0x200A0000, 0x200AFFFF, UART2
0x20090000, 0x2009FFFF, UART1
0x20080000, 0x2008FFFF, UART0
0x20070000, 0x2007FFFF, IR
0x20060000, 0x2006FFFF, RTC
0x20050000, 0x2005FFFF, SYS CTRL
0x20040000, 0x2004FFFF, WDG
0x20030000, 0x2003FFFF, CRG
0x20020000, 0x2002FFFF, RESERVED
0x20010000, 0x2001FFFF, TIMER2-3
0x20000000, 0x2000FFFF, TIMER0-1
0x100D0000, 0x1FFFFFFF, RESERVED
0x100C0000, 0x100CFFFF, CIPHER
0x100B0000, 0x100BFFFF, USB EHCI
0x100A0000, 0x100AFFFF, USB OHCI
0x10090000, 0x1009FFFF, GSF
0x10080000, 0x1008FFFF, USB DEVICE
0x10070000, 0x1007FFFF, RESERVED
0x10060000, 0x1006FFFF, DMA CTR
0x10050000, 0x1005FFFF, RESERVED
0x10040000, 0x1004FFFF, SPI NAND CTR
0x10020000, 0x1003FFFF, RESERVED
0x10010000, 0x1001FFFF, SPI NOR CTR
0x10000000, 0x1000FFFF, NAND CTR
0x04020000, 0x0FFFFFFF, RESERVED
0x04010000, 0x0401FFFF, ON CHIP MEM
0x04000000, 0x0400FFFF, BOOT ROM
0x00000001, 0x03FFFFFF, REMAP MEM
0x00000000, 0x00000000, NULL
